"id","group","shape","ft_area_pct","peak_torque_pct_mvc","px_col","px_row","support_px","visible_frac","agree_frac","fit","alt_shape","alt_fit","n_touching","on_line"
1,"orienteers","open_circle_small",17.93,40.22,159,377,90,1,0.978,0.0063,NA,NA,0,FALSE
2,"orienteers","open_circle_small",24.45,49.28,196,326,91,1,0.989,0.0068,NA,NA,0,FALSE
3,"orienteers","open_circle_small",29.03,60.29,222,264,90,1,0.978,0.0125,NA,NA,0,FALSE
4,"orienteers","open_circle_small",29.21,67.4,223,224,89,1,0.967,0.0108,NA,NA,0,FALSE
5,"race_walkers","star",30.97,50.34,233,320,58,0.967,0.98,0.0275,NA,NA,0,FALSE
6,"orienteers","open_circle_small",36.96,52.12,267,310,88,1,0.957,0.0349,NA,NA,0,FALSE
7,"sedentary","open_circle_large",42.07,48.03,296,333,151,1,0.956,0.0198,NA,NA,0,FALSE
8,"race_walkers","star",43.13,61.71,302,256,54,0.9,0.96,0.0991,NA,NA,1,FALSE
9,"race_walkers","star",43.13,60.12,302,265,47,0.783,0.92,0.0293,"filled_triangle",0.0454,2,FALSE
10,"sedentary","open_circle_large",43.13,57.81,302,278,115,0.563,0.933,0.0518,NA,NA,1,FALSE
11,"sprinters","filled_circle",45.06,86.23,313,118,89,0.989,1,0.0066,"filled_triangle",0.0591,0,FALSE
12,"race_walkers","star",46.12,56.38,319,286,47,0.783,0.84,0.0318,NA,NA,0,FALSE
13,"orienteers","open_circle_small",46.12,52.48,319,308,85,1,0.924,0.0153,NA,NA,0,FALSE
14,"race_walkers","star",49.12,57.45,336,280,57,0.95,0.98,0.03,NA,NA,0,FALSE
15,"downhill_skiers","filled_triangle",50.17,60.29,342,264,57,0.655,1,0.0345,"filled_circle",0.0494,0,FALSE
16,"race_walkers","star",54.05,63.49,364,246,60,1,1,0.0031,NA,NA,0,FALSE
17,"race_walkers","star",54.58,55.14,367,293,37,0.617,0.92,0.0258,"filled_circle",0.069,1,FALSE
18,"downhill_skiers","filled_triangle",56.16,48.21,376,332,86,0.989,1,0.0068,"filled_circle",0.0527,0,FALSE
19,"sedentary","open_circle_large",56.34,55.5,377,291,137,1,0.867,0.1131,NA,NA,1,FALSE
20,"sedentary","open_circle_large",57.4,65.27,383,236,154,1,0.975,0.0366,NA,NA,0,FALSE
21,"downhill_skiers","filled_triangle",57.92,51.59,386,313,82,0.943,1,0.0684,"filled_circle",0.109,0,FALSE
22,"downhill_skiers","filled_triangle",58.1,60.65,387,262,51,0.586,1,0.0274,"filled_circle",0.0405,1,FALSE
23,"orienteers","open_circle_small",58.28,59.05,388,271,90,1,0.978,0.1435,NA,NA,1,FALSE
24,"sprinters","filled_circle",58.98,74.33,392,185,85,0.944,0.987,0.0067,"filled_triangle",0.048,0,FALSE
25,"downhill_skiers","filled_triangle",60.04,52.65,398,307,81,0.931,0.973,0.0085,"filled_circle",0.0623,0,FALSE
26,"sedentary","open_circle_large",60.21,57.27,399,281,156,1,0.987,0.0619,NA,NA,0,FALSE
27,"sprinters","filled_circle",62.15,80.55,410,150,89,0.989,1,0.0103,"filled_triangle",0.0561,0,FALSE
28,"sprinters","filled_circle",63.91,55.5,420,291,78,0.867,0.949,0.0223,"star",0.0506,0,FALSE
29,"sedentary","open_circle_large",64.09,65.62,421,234,135,0.994,0.854,0.0615,NA,NA,0,FALSE
30,"sedentary","open_circle_large",64.79,52.65,425,307,135,1,0.854,0.0541,NA,NA,0,FALSE
31,"sedentary","open_circle_large",64.97,61.54,426,257,142,1,0.899,0.0469,NA,NA,0,FALSE
32,"sprinters","filled_circle",69.02,72.91,449,193,87,0.967,1,0.0031,"filled_triangle",0.0514,0,FALSE
33,"orienteers","open_circle_small",70.96,70.06,460,209,82,1,0.891,0.0211,NA,NA,0,FALSE
34,"downhill_skiers","filled_triangle",70.96,60.47,460,263,80,0.92,1,0.0083,"filled_circle",0.0611,0,FALSE
35,"sprinters","filled_circle",72.02,65.8,466,233,40,0.444,0.987,0.0093,"star",0.0313,0,TRUE
36,"sedentary","open_circle_large",72.02,57.81,466,278,147,1,0.93,0.0264,NA,NA,0,FALSE
37,"sprinters","filled_circle",77.13,69.89,495,210,89,0.989,1,0.0057,"filled_triangle",0.0551,0,FALSE
38,"sprinters","filled_circle",82.76,84.81,527,126,81,0.9,0.962,0.0126,"star",0.0467,0,FALSE
39,"sprinters","filled_circle",88.05,71.66,557,200,37,0.411,0.975,0.0036,"star",0.0217,0,TRUE
